Date,Open,High,Low,Close,Volume,Stock,SMA_10,SMA_20,EMA_10,RSI,MACD,Volatility,Return,Future_Close,Target,Avg_Sentiment,News_Count,Sentiment_Normalized,Sentiment_Change,Return_lag_1,Close_lag_1,Return_lag_2,Close_lag_2,Return_lag_3,Close_lag_3,Return_lag_5,Close_lag_5,ML_Prob,Final_Signal,Reason
2022-03-09,3203.2661284631563,3246.805668073335,3196.202103688731,3227.79052734375,2719654,TCS.NS,3143.0886962890627,3236.461047363281,3181.339868995604,38.72433870116746,-50.22218604050522,55.972231956007256,0.0090695462647147,3217.43896484375,0,0.0,0.0,0.5,0.0,0.0330136758305357,3198.779052734375,-0.0111934544575721,3096.550537109375,-0.0056568116196381,3131.60400390625,-0.0022647421409095,3150.974853515625,0.36347798,🔴 AVOID,
2022-03-10,3273.4628498933785,3273.4628498933785,3212.152063616874,3217.43896484375,2005441,TCS.NS,3148.166796875,3230.258862304688,3187.9033409679946,39.57733690534496,-44.21911334466131,60.47092780444999,-0.0032070118591365,3198.068359375,0,0.0,0.0,0.5,0.0,0.0090695462647147,3227.79052734375,0.0330136758305357,3198.779052734375,-0.0111934544575721,3096.550537109375,-0.000493553853505,3149.419677734375,0.37685356,🔴 AVOID,
2022-03-11,3201.7115509453934,3234.2330122460926,3192.4705914053425,3198.068359375,1623423,TCS.NS,3165.715893554688,3222.652746582032,3189.751526132905,37.75538161483858,-40.55716322611306,42.88013981028867,-0.0060205044075143,3237.031494140625,1,0.0,0.0,0.5,0.0,-0.0032070118591365,3217.43896484375,0.0090695462647147,3227.79052734375,0.0330136758305357,3198.779052734375,-0.0056568116196381,3131.60400390625,0.4597486,🔴 AVOID,
2022-03-14,3181.0520859246326,3241.7853878024443,3181.0520859246326,3237.031494140625,1765688,TCS.NS,3176.578466796875,3220.3447021484376,3198.34788395249,45.0038666202864,-34.11775379892515,46.02206172194898,0.0121833339338748,3193.4033203125,0,0.0,0.0,0.5,0.0,-0.0060205044075143,3198.068359375,-0.0032070118591365,3217.43896484375,0.0090695462647147,3227.79052734375,-0.0111934544575721,3096.550537109375,0.54536146,⚖️ HOLD,Moderate ML signal
2022-03-15,3251.2488011709297,3251.2488011709297,3185.8505422829967,3193.4033203125,3651133,TCS.NS,3180.1060791015625,3214.1314331054687,3197.4488723815825,50.55087261693858,-32.164136304666954,45.80205884387014,-0.0134778342154213,3248.494384765625,1,0.0,0.0,0.5,0.0,0.0121833339338748,3237.031494140625,-0.0060205044075143,3198.068359375,-0.0032070118591365,3217.43896484375,0.0330136758305357,3198.779052734375,0.3292849,🔴 AVOID,
2022-03-16,3234.81061397706,3259.246073909588,3213.2629811274664,3248.494384765625,3090475,TCS.NS,3189.8580322265625,3206.938513183594,3206.7298746332267,56.39495396881601,-25.872252655586635,49.16839940334101,0.0172515210035335,3263.466552734375,1,0.0,0.0,0.5,0.0,-0.0134778342154213,3193.4033203125,0.0121833339338748,3237.031494140625,-0.0060205044075143,3198.068359375,0.0090695462647147,3227.79052734375,0.43279383,🔴 AVOID,
2022-03-17,3284.6588462421337,3296.565491973189,3252.4039976373524,3263.466552734375,3600452,TCS.NS,3201.2627197265624,3200.703015136719,3217.045634287981,73.58222068409047,-19.45351272041671,51.89740767082552,0.0046089560871536,3222.548583984375,0,0.0,0.0,0.5,0.0,0.0172515210035335,3248.494384765625,-0.0134778342154213,3193.4033203125,0.0121833339338748,3237.031494140625,-0.0032070118591365,3217.43896484375,0.39831373,🔴 AVOID,"Uptrend (SMA crossover), Overbought (RSI)"
2022-03-21,3284.1259896776583,3300.0756382590976,3212.152449319463,3222.548583984375,2413831,TCS.NS,3210.357177734375,3193.705615234375,3218.046170596416,60.55808701566317,-17.467004435364743,45.96342503614095,-0.012538191548406,3288.524169921875,1,0.0,0.0,0.5,0.0,0.0046089560871536,3263.466552734375,0.0172515210035335,3248.494384765625,-0.0134778342154213,3193.4033203125,-0.0060205044075143,3198.068359375,0.39286712,⚖️ HOLD,Uptrend (SMA crossover)
2022-03-22,3234.366348219692,3297.454263253648,3221.0379154660395,3288.524169921875,2907611,TCS.NS,3229.554541015625,3189.576025390625,3230.860352291954,63.52421823249746,-10.44855941433616,30.70734189670401,0.0204731082303581,3298.697998046875,1,0.0,0.0,0.5,0.0,-0.012538191548406,3222.548583984375,0.0046089560871536,3263.466552734375,0.0172515210035335,3248.494384765625,0.0121833339338748,3237.031494140625,0.51929706,🟢 BUY,"Moderate ML signal, Uptrend (SMA crossover)"
2022-03-23,3294.7884114089247,3314.15910942593,3278.79429290694,3298.697998046875,1596195,TCS.NS,3239.546435546875,3189.265014648437,3243.1944697019394,65.22578716499817,-4.019118371772038,35.4679433123899,0.0030937367643679,3331.975341796875,1,0.0,0.0,0.5,0.0,0.0204731082303581,3288.524169921875,-0.012538191548406,3222.548583984375,0.0046089560871536,3263.466552734375,-0.0134778342154213,3193.4033203125,0.5654653,🟢 BUY,"Moderate ML signal, Uptrend (SMA crossover)"
